Sample_Frame,Repeat_Sample,Loc_Number,Loc_Name,BareGrdCover,Bromus.tectorum,Elymus.caput.medusae,Poa.secunda,Pseudoroegneria.spicata
JODA_Clarno,yes,1,JODA_Clarno_001,1,2,0,2,3
JODA_Clarno,yes,1,JODA_Clarno_001,1,2,0,2,3
JODA_Clarno,yes,2,JODA_Clarno_002,0,2,0,1,3
JODA_Clarno,yes,2,JODA_Clarno_002,1,2,0,1,2
JODA_Clarno,yes,3,JODA_Clarno_003,2,1,1,0,0
JODA_Clarno,yes,3,JODA_Clarno_003,1,1,1,0,0
JODA_Clarno,yes,4,JODA_Clarno_004,1,4,0,2,2
JODA_Clarno,yes,4,JODA_Clarno_004,2,3,1,2,2
JODA_Clarno,yes,5,JODA_Clarno_005,1,3,0,0,1
JODA_Clarno,yes,5,JODA_Clarno_005,1,4,0,0,0
JODA_Clarno,yes,6,JODA_Clarno_006,0,4,0,0,0
JODA_Clarno,yes,6,JODA_Clarno_006,0,4,1,0,0
JODA_Clarno,yes,7,JODA_Clarno_007,1,3,0,0,2
JODA_Clarno,yes,7,JODA_Clarno_007,1,3,0,0,1
JODA_Clarno,yes,8,JODA_Clarno_008,1,3,0,1,3
JODA_Clarno,yes,8,JODA_Clarno_008,1,4,0,1,3
JODA_Clarno,yes,9,JODA_Clarno_009,0,5,1,0,0
JODA_Clarno,yes,9,JODA_Clarno_009,0,5,1,0,0
JODA_Clarno,yes,10,JODA_Clarno_010,2,2,1,2,3
JODA_Clarno,yes,10,JODA_Clarno_010,2,3,1,2,2
JODA_Clarno,yes,11,JODA_Clarno_011,1,2,0,1,2
JODA_Clarno,yes,11,JODA_Clarno_011,1,2,0,1,2
JODA_Clarno,yes,12,JODA_Clarno_012,1,3,0,1,0
JODA_Clarno,yes,12,JODA_Clarno_012,1,3,0,0,0
JODA_Clarno,yes,13,JODA_Clarno_013,2,2,0,2,2
JODA_Clarno,yes,13,JODA_Clarno_013,2,2,1,2,2
JODA_Clarno,yes,14,JODA_Clarno_014,1,2,5,0,0
JODA_Clarno,yes,14,JODA_Clarno_014,1,2,5,0,0
JODA_Clarno,yes,15,JODA_Clarno_015,1,4,0,1,0
JODA_Clarno,yes,15,JODA_Clarno_015,1,4,0,3,0
JODA_Clarno,yes,16,JODA_Clarno_016,5,2,2,0,0
JODA_Clarno,yes,16,JODA_Clarno_016,3,2,1,0,0
JODA_Clarno,yes,17,JODA_Clarno_017,3,0,0,2,3
JODA_Clarno,yes,17,JODA_Clarno_017,2,1,0,3,3
JODA_Clarno,yes,18,JODA_Clarno_018,2,2,1,0,2
JODA_Clarno,yes,18,JODA_Clarno_018,1,3,0,0,2
JODA_Clarno,yes,19,JODA_Clarno_019,1,2,1,2,3
JODA_Clarno,yes,19,JODA_Clarno_019,1,2,0,2,3
JODA_Clarno,yes,20,JODA_Clarno_020,2,2,1,1,0
JODA_Clarno,yes,20,JODA_Clarno_020,2,2,1,1,0
JODA_Clarno,yes,21,JODA_Clarno_021,1,0,6,0,0
JODA_Clarno,yes,21,JODA_Clarno_021,0,1,6,0,0
JODA_Clarno,yes,22,JODA_Clarno_022,1,5,1,1,1
JODA_Clarno,yes,22,JODA_Clarno_022,1,4,1,0,2
JODA_Clarno,yes,23,JODA_Clarno_023,1,1,0,0,0
JODA_Clarno,yes,23,JODA_Clarno_023,1,1,0,0,0
JODA_Clarno,yes,24,JODA_Clarno_024,2,2,1,1,3
JODA_Clarno,yes,24,JODA_Clarno_024,1,2,1,1,3
JODA_Clarno,yes,25,JODA_Clarno_025,1,1,0,1,2
JODA_Clarno,yes,25,JODA_Clarno_025,2,1,0,1,2
JODA_Clarno,yes,26,JODA_Clarno_026,1,3,2,1,1
JODA_Clarno,yes,26,JODA_Clarno_026,1,3,2,1,0
JODA_Clarno,yes,27,JODA_Clarno_027,1,5,1,0,0
JODA_Clarno,yes,27,JODA_Clarno_027,0,5,1,0,0
JODA_Clarno,yes,28,JODA_Clarno_028,1,2,0,0,0
JODA_Clarno,yes,28,JODA_Clarno_028,1,3,0,0,0
JODA_Clarno,yes,29,JODA_Clarno_029,1,3,1,1,2
JODA_Clarno,yes,29,JODA_Clarno_029,1,2,1,1,2
JODA_Clarno,yes,30,JODA_Clarno_030,1,2,0,0,0
JODA_Clarno,yes,30,JODA_Clarno_030,0,2,0,0,0
JODA_Clarno,yes,31,JODA_Clarno_031,1,5,0,0,0
JODA_Clarno,yes,31,JODA_Clarno_031,0,5,0,0,0
JODA_Clarno,yes,32,JODA_Clarno_032,3,1,0,1,2
JODA_Clarno,yes,32,JODA_Clarno_032,2,2,0,1,1
JODA_Clarno,yes,33,JODA_Clarno_033,2,1,0,1,0
JODA_Clarno,yes,33,JODA_Clarno_033,2,3,0,1,0
JODA_Clarno,yes,34,JODA_Clarno_034,1,2,1,1,3
JODA_Clarno,yes,34,JODA_Clarno_034,1,2,1,0,3
JODA_Clarno,yes,35,JODA_Clarno_035,1,1,0,0,3
JODA_Clarno,yes,35,JODA_Clarno_035,2,1,0,0,2
JODA_Clarno,yes,36,JODA_Clarno_036,1,3,3,0,1
JODA_Clarno,yes,36,JODA_Clarno_036,1,3,4,0,1
JODA_Clarno,yes,37,JODA_Clarno_037,0,5,1,2,2
JODA_Clarno,yes,37,JODA_Clarno_037,1,4,1,2,2
JODA_Clarno,yes,38,JODA_Clarno_038,0,5,0,2,1
JODA_Clarno,yes,38,JODA_Clarno_038,1,5,0,2,1
JODA_Clarno,yes,39,JODA_Clarno_039,0,4,0,0,1
JODA_Clarno,yes,39,JODA_Clarno_039,0,5,0,0,1
JODA_Clarno,yes,40,JODA_Clarno_040,1,4,0,0,0
JODA_Clarno,yes,40,JODA_Clarno_040,1,3,0,0,0
JODA_Clarno,yes,41,JODA_Clarno_041,1,4,2,1,2
JODA_Clarno,yes,41,JODA_Clarno_041,0,5,2,1,2
JODA_Clarno,yes,42,JODA_Clarno_042,1,4,0,1,2
JODA_Clarno,yes,42,JODA_Clarno_042,1,4,0,1,1
JODA_Clarno,yes,43,JODA_Clarno_043,0,3,0,1,2
JODA_Clarno,yes,43,JODA_Clarno_043,1,4,0,1,2
JODA_Clarno,yes,44,JODA_Clarno_044,1,5,0,1,0
JODA_Clarno,yes,44,JODA_Clarno_044,1,5,0,1,0
JODA_Clarno,yes,45,JODA_Clarno_045,2,1,4,0,0
JODA_Clarno,yes,45,JODA_Clarno_045,1,1,4,0,0
JODA_Clarno,yes,46,JODA_Clarno_046,2,3,1,2,0
JODA_Clarno,yes,46,JODA_Clarno_046,1,3,1,2,0
JODA_Clarno,yes,47,JODA_Clarno_047,2,3,1,0,0
JODA_Clarno,yes,47,JODA_Clarno_047,1,3,1,0,0
JODA_Clarno,yes,48,JODA_Clarno_048,1,2,5,0,0
JODA_Clarno,yes,48,JODA_Clarno_048,0,1,6,0,0
JODA_Clarno,yes,49,JODA_Clarno_049,2,2,1,2,2
JODA_Clarno,yes,49,JODA_Clarno_049,1,3,1,1,2
