"","Loc_Name","Year","X","Loc_Year","before","after","avgdef","maxdef","mindef","tblJODA.2011.2019.SppCover_Loc_Name","Sample_Frame","Loc_Number","X_Coord.x","Y_Coord.x","Datum.x","UTM_Zone.x","Elevation","Aspect","Slope","SCOSA","Unit_Code","BareGrdCover","Achillea_millefolium","Achnatherum_spp","Acroptilon_repens","Agoseris_spp","Agropyron_cristatum","Allium_spp","Antennaria_spp","Arabis_spp","Artemisia_arbuscula","Artemisia_tridentata","Aster_spp","Astragalus_spp","Atriplex_spp","Balsamorhiza_spp","Brodiaea_douglasii","Bromus_spp","Bromus_tectorum","Calochortus_spp","Cardaria_draba","Castilleja_spp","Centaurea_diffusa","Centaurea_maculosa","Centaurea_solstitialis","Cercocarpus_ledifolius","Chrysothamnus_viscidiflorus","Cirsium_spp","Crepis_acuminata","Cryptantha_spp","Dalea_ornata","Delphinium_spp","Descurainia_sophia","Elymus_caput_medusae","Elymus_cinereus","Elymus_elymoides","Ericameria_nauseosa","Erigeron_spp","Eriogonum_spp","Erodium_cicutarium","Euphorbia_esula","Festuca_idahoensis","Gutierrezia_sarothrae","Helianthella_uniflora","Hesperostipa_comata","Juniperus_occidentalis","Kochia_scoparia","Lactuca_serriola","Lepidium_perfoliatum","Leptodactylon_pungens","Lewisia_rediviva","Leymus_cinereus","Linaria_dalmatica","Linaria_vulgaris","Lithophragma_spp","Lithospermum_ruderale","Lomatium_spp","Lupinus_spp","Onopordum_acanthium","Opuntia_polyacantha","Penstemon_spp","Phacelia_hastata","Phacelia_spp","Phlox_spp","Poa_bulbosa","Poa_pratensis","Poa_secunda","Poa_spp","Pseudoroegneria_spicata","Purshia_tridentata","Salsola_kali","Salvia_dorrii","Sarcobatus_vermiculatus","Sedum_spp","Sisymbrium_altissimum","Sphaeralcea_munroana","Sporobolus_cryptandrus","Taeniatherum_caput_medusae","Tetradymia_canescens","Tragopogon_dubius","Ventenata_dubia","Verbascum_blattaria","Verbascum_thapsus","Unit","Site","year","ID","Year.num","Year.centered","Elevation.scaled","avg.cat","min.cat","max.cat","elev.cat","scosa.cat","Plot_ID","SampleFram","Plot","X_Coord.y","Y_Coord.y","Datum.y","UTM_Zone.y","ecoclassid","Fire_1994","Fire_1995","Fire_2011","dNBR2011","1994_Hancock_dNBR","1994_Mammal_dNBR","1995_CampHancock_dNBR","avgdef.centered","dNBR2011.scaled","dNBR1994","dNBR1995","PastBurn","BurnCount","nbr94.cat","BurnSeverity1994","nbr95.cat","BurnSeverity1995","nbr.cat","BurnSeverity2011","BurnAll","sev.cat","BurnSeverity"
"1","JODA_Clarno_2011_1",2011,1,2011,2010,2011,18.840105056,43.55950165,4.924801826,"JODA_Clarno_2011_1","JODA_Clarno",1,703089.603927885,4977998.61237776,"NAD83","10N",587,184,4,-0.0695865504800327,"JODA",0,0,1,0,0,0,0,0,0,0,"0",0,1,0,0,0,0,"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",NA,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,1,1,0,0.485797621539739,"(18,19]","(4.5,5]","[38,44]","(565,590]","(-0.1,-0.05]","JODA_Clarno_2011_1","JODA_Clarno",1,703089.603928,4977998.61238,"NAD83","10N","R010XB044OR",NA,NA,"2011",1562,NA,NA,NA,-0.629067336093902,-0.422283811327095,NA,NA,"2011","1",NA,"No Burn94",NA,"No Burn95","(1.5e+03,2.1e+03]","Medium11","1.No Burn94.No Burn95.Medium11","(1.19e+03,2.48e+03]","Medium"
"2","JODA_Clarno_2011_10",2011,2,2011,2010,2011,18.840105056,43.55950165,4.924801826,"JODA_Clarno_2011_10","JODA_Clarno",10,702261.068943159,4977778.21736505,"NAD83","10N",541,297,8,0.0631832656551625,"JODA",0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",NA,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,10,1,0,-0.24920391465796,"(18,19]","(4.5,5]","[38,44]","(500,545]","(0.05,0.15]","JODA_Clarno_2011_10","JODA_Clarno",10,702261.068943,4977778.21737,"NAD83","10N","R010XB044OR",NA,NA,"2011",2208,NA,NA,NA,-0.629067336093902,0.573576150024242,NA,NA,"2011","1",NA,"No Burn94",NA,"No Burn95","(2.1e+03,5.59e+03]","High11","1.No Burn94.No Burn95.High11","(1.19e+03,2.48e+03]","Medium"
"3","JODA_Clarno_2011_100",2011,3,2011,2010,2011,20.041705193,45.37631989,5.376136303,"JODA_Clarno_2011_100","JODA_Clarno",100,703879.768701378,4976852.2288436,"NAD83","10N",572,19,15,0.244718214863311,"JODA",0,2,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",NA,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,100,1,0,0.246123207562229,"(20,21]","(5,5.5]","(44,47]","(565,590]","(0.15,0.5]","JODA_Clarno_2011_100","JODA_Clarno",100,703879.768701,4976852.22884,"NAD83","10N","R010XB022OR","1994",NA,"2011",2661,1912,NA,NA,-0.0707138867189859,1.27191138608021,1912,NA,"1994_2011","2","(1.47e+03,3.05e+03]","High94",NA,"No Burn95","(2.1e+03,5.59e+03]","High11","2.High94.No Burn95.High11","(2.48e+03,5.59e+03]","High"
"4","JODA_Clarno_2011_101",2011,4,2011,2010,2011,18.8192238215,43.43727112,4.526374817,"JODA_Clarno_2011_101","JODA_Clarno",101,703971.268891631,4979093.9689521,"NAD83","10N",642,299,1,0.00846109453724415,"JODA",0,0,0,0,0,0,0,0,0,0,"2",0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5",NA,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,101,1,0,1.36460380612394,"(18,19]","(4.5,5]","[38,44]","(630,731]","(-0.05,0.05]","JODA_Clarno_2011_101","JODA_Clarno",101,703971.268892,4979093.96895,"NAD83","10N","R010XB053OR","1994",NA,"2011",2455,NA,2025,NA,-0.638770322096708,0.954346135246813,2025,NA,"1994_2011","2","(1.47e+03,3.05e+03]","High94",NA,"No Burn95","(2.1e+03,5.59e+03]","High11","2.High94.No Burn95.High11","(1.19e+03,2.48e+03]","Medium"
"5","JODA_Clarno_2011_102",2011,5,2011,2010,2011,18.8192238215,43.43727112,4.526374817,"JODA_Clarno_2011_102","JODA_Clarno",102,704603.053573869,4978791.85124416,"NAD83","10N",587,88,8,0.00485707117803265,"JODA",1,0,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",NA,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,102,1,0,0.485797621539739,"(18,19]","(4.5,5]","[38,44]","(565,590]","(-0.05,0.05]","JODA_Clarno_2011_102","JODA_Clarno",102,704603.053574,4978791.85124,"NAD83","10N","R010XB053OR","1994",NA,"2011",1933,536,NA,NA,-0.638770322096708,0.149641955950531,536,NA,"1994_2011","2","[-233,970]","Low94",NA,"No Burn95","(1.5e+03,2.1e+03]","Medium11","2.Low94.No Burn95.Medium11","(1.19e+03,2.48e+03]","Medium"
"6","JODA_Clarno_2011_103",2011,6,2011,2010,2011,18.8192238215,43.43727112,4.526374817,"JODA_Clarno_2011_103","JODA_Clarno",103,704931.462251972,4978996.25917963,"NAD83","10N",668,147,11,-0.160025888521543,"JODA",0,0,2,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",NA,0,0,0,0,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,103,1,0,1.7800394570183,"(18,19]","(4.5,5]","[38,44]","(630,731]","(-0.2,-0.1]","JODA_Clarno_2011_103","JODA_Clarno",103,704931.462252,4978996.25918,"NAD83","10N","R010XB022OR","1994",NA,"2011",2342,1336,NA,NA,-0.638770322096708,0.780147720954706,1336,NA,"1994_2011","2","(970,1.47e+03]","Medium94",NA,"No Burn95","(2.1e+03,5.59e+03]","High11","2.Medium94.No Burn95.High11","(1.19e+03,2.48e+03]","Medium"
"7","JODA_Clarno_2011_104",2011,7,2011,2010,2011,20.041705193,45.37631989,5.376136303,"JODA_Clarno_2011_104","JODA_Clarno",104,704447.745837672,4976742.11470428,"NAD83","10N",474,157,5,-0.0802272842054717,"JODA",1,0,2,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",NA,0,0,0,2,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0",4,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,104,1,0,-1.31974963042417,"(20,21]","(5,5.5]","(44,47]","[416,500]","(-0.1,-0.05]","JODA_Clarno_2011_104","JODA_Clarno",104,704447.745838,4976742.1147,"NAD83","10N","R010XB053OR","1994",NA,"2011",2078,1475,NA,NA,-0.0707138867189859,0.373170894643942,1475,NA,"1994_2011","2","(1.47e+03,3.05e+03]","High94",NA,"No Burn95","(1.5e+03,2.1e+03]","Medium11","2.High94.No Burn95.Medium11","(1.19e+03,2.48e+03]","Medium"
"8","JODA_Clarno_2011_105",2011,8,2011,2010,2011,20.2563268545,46.79436493,5.039719105,"JODA_Clarno_2011_105","JODA_Clarno",105,702421.828155945,4976435.71158616,"NAD83","10N",433,162,4,-0.0663423489081222,"JODA",0,0,2,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",NA,0,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,105,1,0,-1.97485969529603,"(20,21]","(5,5.5]","(44,47]","[416,500]","(-0.1,-0.05]","JODA_Clarno_2011_105","JODA_Clarno",105,702421.828156,4976435.71159,"NAD83","10N","R010XB053OR",NA,"1995",NA,NA,NA,NA,1969,0.0290154169978804,NA,NA,1969,"1995","1",NA,"No Burn94","(1.4e+03,2.1e+03]","Medium95",NA,"No Burn11","1.No Burn94.Medium95.No Burn11",NA,"No Burn"
"9","JODA_Clarno_2011_106",2011,9,2011,2010,2011,18.8192238215,43.43727112,4.526374817,"JODA_Clarno_2011_106","JODA_Clarno",106,704908.881907959,4978960.80575978,"NAD83","10N",667,166,12,-0.201735825043288,"JODA",0,1,2,0,0,0,0,0,0,0,"0",0,1,0,0,0,0,"4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",NA,0,0,0,0,1,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,106,1,0,1.76406116275313,"(18,19]","(4.5,5]","[38,44]","(630,731]","[-0.5,-0.2]","JODA_Clarno_2011_106","JODA_Clarno",106,704908.881908,4978960.80576,"NAD83","10N","R010XB022OR","1994",NA,"2011",1798,1235,NA,NA,-0.638770322096708,-0.0584711938674732,1235,NA,"1994_2011","2","(970,1.47e+03]","Medium94",NA,"No Burn95","(1.5e+03,2.1e+03]","Medium11","2.Medium94.No Burn95.Medium11","(1.19e+03,2.48e+03]","Medium"
"10","JODA_Clarno_2011_107",2011,10,2011,2010,2011,20.255675731875,45.55043411,5.465832233,"JODA_Clarno_2011_107","JODA_Clarno",107,702984.991844158,4976477.59434217,"NAD83","10N",439,281,2,0.00665913790495123,"JODA",1,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",NA,0,0,0,0,1,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JODA","Clarno",2011,107,1,0,-1.87898992970503,"(20,21]","(5,5.5]","(44,47]","[416,500]","(-0.05,0.05]","JODA_Clarno_2011_107","JODA_Clarno",107,702984.991844,4976477.59434,"NAD83","10N","R010XB053OR",NA,"1995","2011",882,NA,NA,1910,0.028712856643201,-1.47055745485482,NA,1910,"1995_2011","2",NA,"No Burn94","(1.4e+03,2.1e+03]","Medium95","[-570,1.5e+03]","Low11","2.No Burn94.Medium95.Low11","[-570,1.19e+03]","Low"
