Sample_Frame,Loc_Number,Repeat_Sample,Artemisia.tridentata,uni.id,allot
BICA_LTM_Veg060,1,Yes,0,365,1
BICA_LTM_Veg060,1,Yes,0,365,1
BICA_LTM_Veg060,1,Yes,0,365,1
BICA_LTM_Veg060,2,Yes,0,366,1
BICA_LTM_Veg060,2,Yes,0,366,1
BICA_LTM_Veg060,2,Yes,0,366,1
BICA_LTM_Veg060,3,Yes,0,367,1
BICA_LTM_Veg060,3,Yes,0,367,1
BICA_LTM_Veg060,4,Yes,0,368,1
BICA_LTM_Veg060,4,Yes,0,368,1
BICA_LTM_Veg060,5,Yes,0,369,1
BICA_LTM_Veg060,5,Yes,0,369,1
BICA_LTM_Veg060,5,Yes,0,369,1
BICA_LTM_Veg060,6,Yes,0,370,1
BICA_LTM_Veg060,6,Yes,0,370,1
BICA_LTM_Veg060,6,Yes,0,370,1
BICA_LTM_Veg060,7,Yes,0,371,1
BICA_LTM_Veg060,7,Yes,0,371,1
BICA_LTM_Veg060,8,Yes,0,372,1
BICA_LTM_Veg060,8,Yes,0,372,1
BICA_LTM_Veg060,9,Yes,0,373,1
BICA_LTM_Veg060,9,Yes,0,373,1
BICA_LTM_Veg060,9,Yes,0,373,1
BICA_LTM_Veg060,10,Yes,0,374,1
BICA_LTM_Veg060,10,Yes,0,374,1
BICA_LTM_Veg060,11,Yes,0,375,1
BICA_LTM_Veg060,11,Yes,0,375,1
BICA_LTM_Veg060,12,Yes,0,376,1
BICA_LTM_Veg060,12,Yes,0,376,1
BICA_LTM_Veg060,12,Yes,0,376,1
BICA_LTM_Veg060,13,Yes,0,377,1
BICA_LTM_Veg060,13,Yes,0,377,1
BICA_LTM_Veg060,13,Yes,0,377,1
BICA_LTM_Veg060,14,Yes,0,378,1
BICA_LTM_Veg060,14,Yes,0,378,1
BICA_LTM_Veg060,15,Yes,0,379,1
BICA_LTM_Veg060,15,Yes,0,379,1
BICA_LTM_Veg060,16,Yes,0,380,1
BICA_LTM_Veg060,16,Yes,2,380,1
BICA_LTM_Veg060,16,Yes,2,380,1
BICA_LTM_Veg060,17,Yes,0,381,1
BICA_LTM_Veg060,17,Yes,0,381,1
BICA_LTM_Veg060,17,Yes,0,381,1
BICA_LTM_Veg060,18,Yes,0,382,1
BICA_LTM_Veg060,18,Yes,0,382,1
BICA_LTM_Veg060,18,Yes,0,382,1
BICA_LTM_Veg060,19,Yes,0,383,1
BICA_LTM_Veg060,19,Yes,0,383,1
BICA_LTM_Veg060,20,Yes,0,384,1
BICA_LTM_Veg060,20,Yes,0,384,1
BICA_LTM_Veg060,21,Yes,0,385,1
BICA_LTM_Veg060,21,Yes,0,385,1
