Type,BROTEC,ARTTRID,Fire,Topo,D_BOUND,D_ROADS,Topo2,D_BOUND.s,D_ROADS.s,ARTTRID.PA,ARTTRID.mid,BROTEC.PA,BROTEC.mid
Train,5,0,0,-0.0824,331.499604,187.5833359,0.00678976,0.331499604,1.875833359,1,0,0,0.85
Train,3,0,0,0.1102,59.76314277,499.0834552,0.01214404,0.059763143,4.990834552,1,0,0,0.375
Train,1,0,1,0.0789,840.4961349,512.4112463,0.00622521,0.840496135,5.124112463,1,0,0,0.025
Train,2,0,1,-0.0107,53.96811231,87.82420293,0.00011449,0.053968112,0.878242029,1,0,0,0.15
Train,3,0,1,0.245,36.02314652,257.2811058,0.060025,0.036023147,2.572811058,1,0,0,0.375
Train,0,0,1,-0.0572,570.2708543,1028.027107,0.00327184,0.570270854,10.28027107,1,0,1,0
Train,1,0,1,0.3989,385.9191422,398.7051189,0.15912121,0.385919142,3.987051189,1,0,0,0.025
Train,4,0,1,-0.1871,345.3353335,385.8959186,0.03500641,0.345335334,3.858959186,1,0,0,0.625
Train,5,3,0,-0.0264,335.626423,150.9074725,0.00069696,0.335626423,1.509074725,0,0.375,0,0.85
Train,3,0,1,-0.2768,206.38536,528.7976801,0.07661824,0.20638536,5.287976801,1,0,0,0.375
Train,1,0,1,0.2023,452.8443266,876.5357026,0.04092529,0.452844327,8.765357026,1,0,0,0.025
Train,2,0,1,0.165,108.8197841,234.4940676,0.027225,0.108819784,2.344940676,1,0,0,0.15
Train,2,0,1,-0.0812,404.1704826,221.5631443,0.00659344,0.404170483,2.215631443,1,0,0,0.15
Train,0,0,0,-0.0366,174.9862177,51.62589467,0.00133956,0.174986218,0.516258947,1,0,1,0
Train,3,0,1,0.3002,808.5248637,176.107448,0.09012004,0.808524864,1.76107448,1,0,0,0.375
Train,1,0,1,0.0392,121.6244468,1197.238949,0.00153664,0.121624447,11.97238949,1,0,0,0.025
Train,4,0,1,-0.3337,331.0246551,638.1078092,0.11135569,0.331024655,6.381078092,1,0,0,0.625
Train,2,0,0,-0.08,151.7985012,586.3628919,0.0064,0.151798501,5.863628919,1,0,0,0.15
Train,3,0,1,0.2565,47.53389044,547.566962,0.06579225,0.04753389,5.47566962,1,0,0,0.375
Train,3,0,1,-0.1442,667.3697641,602.2710972,0.02079364,0.667369764,6.022710972,1,0,0,0.375
Train,3,0,1,-0.1656,440.3524512,478.8743195,0.02742336,0.440352451,4.788743195,1,0,0,0.375
Train,0,0,1,0.2581,344.2981687,729.2167456,0.06661561,0.344298169,7.292167456,1,0,1,0
Train,3,0,1,0.2102,151.4532427,597.4225667,0.04418404,0.151453243,5.974225667,1,0,0,0.375
Train,4,0,0,-0.007,429.0878712,262.7096327,4.90E-05,0.429087871,2.627096327,1,0,0,0.625
Train,2,0,1,0.2096,828.6249827,297.0716455,0.04393216,0.828624983,2.970716455,1,0,0,0.15
Train,2,0,1,0.0608,161.9382449,202.3304444,0.00369664,0.161938245,2.023304444,1,0,0,0.15
Train,2,0,0,0.1542,119.8455887,302.4821926,0.02377764,0.119845589,3.024821926,1,0,0,0.15
Train,4,0,1,-0.3322,731.9562522,525.8751377,0.11035684,0.731956252,5.258751377,1,0,0,0.625
Train,5,0,0,0.1438,238.1211415,769.8395767,0.02067844,0.238121142,7.698395767,1,0,0,0.85
Train,2,0,0,0.2582,150.4225621,756.1576109,0.06666724,0.150422562,7.561576109,1,0,0,0.15
Train,2,0,1,0.0793,133.008087,911.7808366,0.00628849,0.133008087,9.117808366,1,0,0,0.15
