yrunit,STPE15
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,93
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,75
BDW_LAUN_2015,0
BDW_LAUN_2015,50
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,60
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,50
BDW_LAUN_2015,1
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,1
BDW_LAUN_2015,0
BDW_LAUN_2015,2
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,1
BDW_LAUN_2015,0
BDW_LAUN_2015,67
BDW_LAUN_2015,2
BDW_LAUN_2015,5
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,1
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,25
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,59
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,3
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2015,0
BDW_LAUN_2016,88
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,15
BDW_LAUN_2016,5
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,100
BDW_LAUN_2016,95
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,100
BDW_LAUN_2016,100
BDW_LAUN_2016,0
BDW_LAUN_2016,20
BDW_LAUN_2016,84
BDW_LAUN_2016,10
BDW_LAUN_2016,0
BDW_LAUN_2016,100
BDW_LAUN_2016,100
BDW_LAUN_2016,0
BDW_LAUN_2016,90
BDW_LAUN_2016,0
BDW_LAUN_2016,84
BDW_LAUN_2016,97
BDW_LAUN_2016,0
BDW_LAUN_2016,100
BDW_LAUN_2016,0
BDW_LAUN_2016,100
BDW_LAUN_2016,50
BDW_LAUN_2016,50
BDW_LAUN_2016,90
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,75
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,100
BDW_LAUN_2016,99
BDW_LAUN_2016,0
BDW_LAUN_2016,100
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,100
BDW_LAUN_2016,0
BDW_LAUN_2016,79
BDW_LAUN_2016,92
BDW_LAUN_2016,45
BDW_LAUN_2016,0
BDW_LAUN_2016,0
BDW_LAUN_2016,98
