Belt	Quadrat	Layer	Year	Date	Scientific_name	Japanese_name	Cover
27	1	canopy	1980	1980-09	Betula platyphylla var. japonica	シラカンバ	5
27	1	canopy	1984	1984-09	Betula platyphylla var. japonica	シラカンバ	5
27	1	canopy	1988	1988-09-13	Betula platyphylla var. japonica	シラカンバ	5
27	1	canopy	1988	1988-09-13	Betula ermanii	ダケカンバ	1
27	1	canopy	1998	1998-07-23	Betula platyphylla var. japonica	シラカンバ	5
27	1	canopy	1998	1998-07-23	Betula ermanii	ダケカンバ	2
27	1	canopy	1998	1998-07-23	Abies sachalinensis	トドマツ	+
27	1	canopy	2002	2002-07-30	Abies sachalinensis	トドマツ	+
27	1	canopy	2002	2002-07-30	Betula platyphylla var. japonica	シラカンバ	5
27	1	canopy	2002	2002-07-30	Betula ermanii	ダケカンバ	2
27	1	canopy	2009	2009-07-30	Abies sachalinensis	トドマツ	2
27	1	canopy	2009	2009-07-30	Betula platyphylla var. japonica	シラカンバ	5
27	1	canopy	2009	2009-07-30	Betula ermanii	ダケカンバ	1
27	1	canopy	2017	2017-07-26	Abies sachalinensis	トドマツ	2
27	1	canopy	2017	2017-07-26	Betula platyphylla var. japonica	シラカンバ	5
27	1	canopy	2017	2017-07-26	Betula ermanii	ダケカンバ	1
27	1	shrub	1957	1957-09	Rubus idaeus subsp. melanolasius	エゾイチゴ	3
27	1	shrub	1957	1957-09	Sasa senanensis	クマイザサ	4
27	1	shrub	1957	1957-09	Rhododendron pentandrum	コヨウラクツツジ	+
27	1	shrub	1958	1958-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	4
27	1	shrub	1958	1958-08	Sambucus racemosa subsp. kamtschatica	エゾニワトコ	1
27	1	shrub	1958	1958-08	Sasa senanensis	クマイザサ	3
27	1	shrub	1959	1959-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	3
27	1	shrub	1959	1959-08	Sasa senanensis	クマイザサ	4
27	1	shrub	1960	1960-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	2
27	1	shrub	1960	1960-08	Sasa senanensis	クマイザサ	5
27	1	shrub	1961	1961-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	2
27	1	shrub	1961	1961-08	Ribes latifolium	エゾスグリ	+
27	1	shrub	1961	1961-08	Sasa senanensis	クマイザサ	5
27	1	shrub	1962	1962-09	Rubus idaeus subsp. melanolasius	エゾイチゴ	1
27	1	shrub	1962	1962-09	Sasa senanensis	クマイザサ	4
27	1	shrub	1963	1963-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	1
27	1	shrub	1963	1963-08	Sasa senanensis	クマイザサ	5
27	1	shrub	1964	1964-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	1
27	1	shrub	1964	1964-08	Sasa senanensis	クマイザサ	5
27	1	shrub	1965	1965-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	+
27	1	shrub	1965	1965-08	Sasa senanensis	クマイザサ	5
27	1	shrub	1966	1966-08	Rubus idaeus subsp. melanolasius	エゾイチゴ	+
27	1	shrub	1966	1966-08	Sasa senanensis	クマイザサ	5
